ID,X_in_mm,Y_in_mm
6,58.956725880078444,20.808788025108647
7,52.94099848820425,20.808788025108647
8,46.92527109633008,20.650479409533013
9,40.9095437044559,20.96709664068428
17,68.45524281461661,29.35745326619301
18,62.597824038318066,29.199144650617377
19,56.74040526201952,29.199144650617377
20,50.72467787014534,29.199144650617377
21,44.55064186269553,29.199144650617377
22,38.69322308639698,29.199144650617377
29,74.78758743764206,44.39677174587847
30,68.61355143019225,44.39677174587847
31,62.7561326538937,44.23846313030283
32,56.74040526201952,44.23846313030283
33,50.40806063899407,44.39677174587847
34,44.70895047827116,44.08015451472719
35,38.53491447082135,44.08015451472719
36,33.9439646191279,49.14603021314756
42,74.47097020649079,59.43609022556392
43,68.61355143019225,59.119472994412654
44,62.597824038318066,59.27778160998829
45,56.58209664644389,59.119472994412654
46,50.72467787014534,59.27778160998829
47,44.70895047827116,59.119472994412654
48,38.69322308639698,59.119472994412654
49,33.46903877240099,62.76057115265228
54,80.80331482951624,74.31710008967374
55,74.78758743764206,74.15879147409811
56,68.61355143019225,74.00048285852247
57,62.597824038318066,74.47540870524938
58,56.58209664644389,74.31710008967374
59,50.72467787014534,74.31710008967374
60,44.70895047827116,74.47540870524938
61,38.69322308639698,74.31710008967374
67,80.6450062139406,89.67303580051046
68,74.62927882206642,89.67303580051046
69,68.77186004576788,89.51472718493483
70,62.7561326538937,89.35641856935919
71,56.74040526201952,89.35641856935919
72,50.72467787014534,89.19810995378356
73,44.70895047827116,89.19810995378356
74,39.00984031754825,89.19810995378356
79,86.66073360581478,104.55404566462028
80,80.6450062139406,104.55404566462028
81,74.78758743764206,104.39573704904464
82,68.77186004576788,104.55404566462028
83,62.597824038318066,104.39573704904464
84,56.74040526201952,104.237428433469
85,50.88298648572098,104.237428433469
86,44.70895047827116,104.237428433469
87,38.53491447082135,104.39573704904464
92,86.66073360581478,119.59336414430577
93,80.6450062139406,119.43505552873012
94,74.62927882206642,119.59336414430577
95,68.61355143019225,119.59336414430577
96,62.7561326538937,119.43505552873012
97,56.74040526201952,119.43505552873012
98,50.88298648572098,119.43505552873012
99,44.70895047827116,119.11843829757883
100,38.69322308639698,119.11843829757883
101,32.677495694522804,119.27674691315448
105,86.66073360581478,134.47437400841557
106,80.6450062139406,134.47437400841557
107,74.78758743764206,134.6326826239912
108,68.77186004576788,134.47437400841557
109,62.7561326538937,134.1577567772643
110,56.898713877595156,134.31606539283993
111,50.88298648572098,134.1577567772643
112,44.8672590938468,134.31606539283993
113,39.00984031754825,134.31606539283993
114,32.83580431009844,134.1577567772643
115,26.82007691822426,133.99944816168866
118,86.81904222139042,149.67200110367665
119,80.80331482951624,149.67200110367665
120,74.62927882206642,149.67200110367665
121,68.77186004576788,149.35538387252538
122,62.914441269469336,149.35538387252538
123,56.898713877595156,149.35538387252538
124,51.04129510129661,149.35538387252538
125,45.02556770942243,149.35538387252538
126,38.85153170197262,149.513692488101
127,32.994112925674074,149.35538387252538
128,26.82007691822426,149.513692488101
129,20.80434952635008,149.513692488101
131,86.81904222139042,164.55301096778646
132,80.80331482951624,164.55301096778646
133,74.9458960532177,164.2363937366352
134,68.93016866134352,164.55301096778646
135,62.914441269469336,164.7113195833621
136,56.898713877595156,164.2363937366352
137,50.88298648572098,164.55301096778646
138,45.02556770942243,164.39470235221083
139,38.85153170197262,164.2363937366352
140,32.994112925674074,164.39470235221083
141,26.82007691822426,164.55301096778646
142,20.962658141925715,164.55301096778646
143,14.946930750051536,164.55301096778646
144,86.66073360581478,179.5923294474719
145,80.96162344509187,179.27571221632064
146,74.78758743764206,179.5923294474719
147,68.93016866134352,179.43402083189628
148,62.914441269469336,179.43402083189628
149,56.74040526201952,179.43402083189628
150,50.88298648572098,179.43402083189628
151,44.8672590938468,179.43402083189628
152,39.00984031754825,179.5923294474719
153,32.83580431009844,179.5923294474719
154,26.82007691822426,179.5923294474719
155,20.962658141925715,179.43402083189628
156,14.946930750051536,179.5923294474719
157,86.81904222139042,194.78995654273305
158,80.80331482951624,194.6316479271574
159,74.78758743764206,194.6316479271574
160,68.93016866134352,194.47333931158173
161,62.914441269469336,194.6316479271574
162,57.057022493170805,194.47333931158173
163,51.04129510129661,194.3150306960061
164,45.02556770942243,194.47333931158173
165,39.00984031754825,194.47333931158173
166,32.83580431009844,194.6316479271574
167,26.978385533799894,194.6316479271574
168,20.80434952635008,194.6316479271574
169,14.946930750051536,194.47333931158173
171,80.80331482951624,209.9875836379941
172,74.78758743764206,209.82927502241847
173,68.77186004576788,209.67096640684284
174,63.07274988504497,209.5126577912672
175,56.898713877595156,209.5126577912672
176,50.88298648572098,209.67096640684284
177,45.02556770942243,209.5126577912672
178,38.85153170197262,209.5126577912672
179,32.83580431009844,209.5126577912672
180,26.82007691822426,209.67096640684284
181,20.962658141925715,209.5126577912672
182,14.7886221344759,209.5126577912672
185,75.10420466879334,224.71028488652829
186,68.93016866134352,224.71028488652829
187,62.914441269469336,224.86859350210392
188,57.057022493170805,225.02690211767955
189,50.88298648572098,224.86859350210392
190,44.8672590938468,224.55197627095265
191,38.85153170197262,224.71028488652829
192,32.994112925674074,224.71028488652829
193,26.978385533799894,224.71028488652829
194,20.80434952635008,224.86859350210392
195,14.946930750051536,224.86859350210392
199,67.50539112116279,233.41725874318828
200,62.43951542274243,235.31696213009596
201,56.74040526201952,240.066220597365
202,51.04129510129661,239.74960336621373
203,45.02556770942243,239.59129475063813
204,38.85153170197262,239.74960336621373
205,33.15242154124971,239.4329861350625
206,26.978385533799894,239.59129475063813
207,22.070818450955173,236.42512243912535
208,17.47986859926172,233.41725874318828
